City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,prado,-17.3411,-39.2208,25.57,82,56,3.39,BR,1712616544
1,ribeira grande,38.5167,-28.7,17.1,96,100,6.71,PT,1712616463
2,port-aux-francais,-49.35,70.2167,8.18,79,86,15.16,TF,1712616453
3,ta`u,-14.2336,-169.5144,29.36,78,20,6.19,AS,1712616544
4,sao joao da barra,-21.6403,-41.0511,25.05,83,88,4.37,BR,1712616544
5,happy valley-goose bay,53.3168,-60.3315,-0.83,80,75,7.72,CA,1712616310
6,kayangel,8.0823,134.7173,28.2,74,87,7.04,PW,1712616544
7,vershino-darasunskiy,52.35,115.5167,-0.69,56,70,3.23,RU,1712616544
8,ebon,4.582,168.6964,27.54,85,100,8.32,MH,1712616544
9,hermanus,-34.4187,19.2345,14.89,83,100,4.75,ZA,1712616545
10,kodiak,57.79,-152.4072,4.73,56,40,6.69,US,1712616464
11,anadyr,64.75,177.4833,-12.72,71,20,5.0,RU,1712616545
12,noumea,-22.2763,166.4572,30.99,99,0,2.08,NC,1712616545
13,bilibino,68.0546,166.4372,-13.91,76,66,1.14,RU,1712616545
14,lamu,-2.2717,40.902,27.97,83,81,5.58,KE,1712616545
15,rudnyy,52.9594,63.1206,1.13,90,97,3.95,KZ,1712616545
16,edinburgh of the seven seas,-37.0676,-12.3116,18.67,92,100,11.7,SH,1712616545
17,oranjemund,-28.55,16.4333,14.55,88,26,0.37,NA,1712616545
18,gobabis,-22.45,18.9667,15.33,34,2,4.02,NA,1712616546
19,aasiaat,68.7098,-52.8699,-10.18,92,94,1.6,GL,1712616546
20,chonchi,-42.6128,-73.8092,8.95,81,54,1.64,CL,1712616496
21,turan,16.0678,108.2208,25.99,89,40,1.54,VN,1712616546
22,paradip garh,20.3167,86.6167,26.01,50,67,4.35,IN,1712616546
23,tofol,5.3248,163.0078,28.88,84,100,2.57,FM,1712616546
24,kovdor,67.5662,30.4758,-4.58,98,100,1.07,RU,1712616546
25,port hedland,-20.3167,118.5667,28.03,26,100,6.17,AU,1712616546
26,chipiona,36.7366,-6.437,15.17,67,0,3.09,ES,1712616546
27,grytviken,-54.2811,-36.5092,1.22,93,82,2.8,GS,1712616546
28,papatowai,-46.5619,169.4708,14.25,82,100,3.74,NZ,1712616473
29,tralee,52.2704,-9.7026,6.58,75,99,9.2,IE,1712616547
30,punta del este,-34.9667,-54.95,22.06,91,75,4.12,UY,1712616547
31,petropavlovsk-kamchatsky,53.0452,158.6483,2.47,82,75,3.0,RU,1712616547
32,ilulissat,69.2167,-51.1,-7.99,67,83,0.51,GL,1712616420
33,st. john's,47.5649,-52.7093,-0.68,93,100,12.07,CA,1712616299
34,la'ie,21.6477,-157.9253,27.98,66,0,4.02,US,1712616547
35,puerto natales,-51.7236,-72.4875,2.86,81,79,5.6,CL,1712616461
36,chibougamau,49.9168,-74.3659,8.79,23,0,3.09,CA,1712616440
37,callao,-12.0667,-77.15,24.16,73,75,5.66,PE,1712616547
38,waitangi,-43.9535,-176.5597,15.46,84,100,4.47,NZ,1712616456
39,isla cristina,37.2,-7.3167,13.54,70,0,7.41,ES,1712616547
40,longyearbyen,78.2186,15.6401,-13.09,72,75,1.03,SJ,1712616548
41,linxia chengguanzhen,35.6003,103.2064,7.67,65,100,2.02,CN,1712616548
42,west island,-12.1568,96.8225,27.99,74,40,4.63,CC,1712616548
43,nkhotakota,-12.9274,34.2961,23.31,86,100,1.92,MW,1712616548
44,puerto san jose,13.9256,-90.8244,30.4,65,5,3.58,GT,1712616548
45,burutu,5.3509,5.5076,27.77,82,97,3.92,NG,1712616548
46,iqaluit,63.7506,-68.5145,-13.15,71,20,3.6,CA,1712616470
47,lazaro cardenas,17.9583,-102.2,27.11,61,34,5.94,MX,1712616548
48,hithadhoo,-0.6,73.0833,29.04,74,100,2.69,MV,1712616488
49,port lincoln,-34.7333,135.8667,15.41,56,98,6.14,AU,1712616548
50,albany,42.6001,-73.9662,16.21,39,100,1.4,US,1712616549
51,enewetak,11.3474,162.3373,27.44,78,100,8.62,MH,1712616549
52,colonia,50.9333,6.95,20.13,56,0,4.63,DE,1712616331
53,bethel,41.3712,-73.414,17.47,33,100,1.65,US,1712616438
54,udachny,66.4167,112.4,-8.64,69,100,6.96,RU,1712616483
55,kerikeri,-35.2268,173.9474,20.73,70,100,4.0,NZ,1712616549
56,college,64.8569,-147.8028,1.37,61,100,5.14,US,1712616549
57,saint-francois,46.4154,3.9054,14.69,78,0,6.69,FR,1712616549
58,tazovsky,67.4667,78.7,-21.65,99,18,4.12,RU,1712616549
59,inarajan village,13.2736,144.7484,29.11,80,21,7.1,GU,1712616549
60,illizi,26.4833,8.4667,26.89,9,97,6.78,DZ,1712616549
61,flowood,32.3096,-90.139,22.12,69,75,5.66,US,1712616550
62,thompson,55.7435,-97.8558,15.09,13,20,3.6,CA,1712616550
63,port elizabeth,-33.918,25.5701,17.83,96,90,5.81,ZA,1712616490
64,floro,61.5996,5.0328,8.04,76,40,9.26,NO,1712616550
65,klyuchi,52.2667,79.1667,9.34,92,100,3.98,RU,1712616550
66,bredasdorp,-34.5322,20.0403,16.11,84,100,6.73,ZA,1712616484
67,san jose del cabo,23.0589,-109.6977,26.44,52,40,9.26,MX,1712616364
68,sur,22.5667,59.5289,27.26,61,36,4.4,OM,1712616550
69,keetmanshoop,-26.5833,18.1333,12.51,76,2,2.57,NA,1712616550
70,ushuaia,-54.8,-68.3,2.81,70,40,6.17,AR,1712616422
71,dolores,-36.3132,-57.6792,17.69,91,7,3.55,AR,1712616327
72,mount isa,-20.7333,139.5,20.87,49,58,4.63,AU,1712616551
73,makoua,0.0069,15.6333,22.55,96,86,1.3,CG,1712616551
74,adamstown,-25.066,-130.1015,23.82,83,81,3.96,PN,1712616476
75,kavali,14.9167,79.9833,26.3,82,11,4.18,IN,1712616551
76,georgetown,5.4112,100.3354,26.96,89,20,2.06,MY,1712616296
77,lebu,-37.6167,-73.65,12.4,81,97,7.57,CL,1712616476
78,vila velha,-20.3297,-40.2925,26.08,84,0,2.57,BR,1712616372
79,al bawiti,28.3492,28.8659,16.76,53,4,4.12,EG,1712616481
